code,floor,shortName
VFMVF1,HOSE,
PRUBF1,HOSE,
MAFPF1,HOSE,
VFMVF4,HOSE,
VFMVFA,HOSE,
ASIAGF,HOSE,
FUCTVGF1,HOSE,Quỹ ĐTTT TVAM
FUCVREIT,HOSE,Quỹ BĐS Techcom VN
FUCTVGF2,HOSE,Quỹ Thiên Việt 2
PMS,HNX,Cơ khí Xăng dầu
CAN,HNX,Đồ hộp Hạ Long
LAF,HNX,C.biến XK Long An
NHC,HNX,Gạch ngói Nhị Hiệp
SGH,HNX,Khách sạn Sài Gòn
MCC,HNX,Gạch ngói cao cấp
BBC,HNX,CTCP Bibica
DPC,HNX,CTCP nhựa Đà Nẵng
DXP,HNX,Cảng Đoạn Xá
HBB,HNX,
RHC,HNX,
HHC,HNX,Bánh kẹo Hải Hà
BPC,HNX,Bao bì Bỉm sơn
SDG,HNX,SADICO Cần Thơ
PVS,HNX,DV KT D.khí VN
VNR,HNX,Tái bảo hiểm VN
PVI,HNX,CTCP PVI
PTI,HNX,Bảo hiểm bưu điện
BBS,HNX,Bao bì Bút Sơn
THV,HNX,
BTS,HNX,Xi măng Bút Sơn
BCC,HNX,Xi măng Bỉm Sơn
HOM,HNX,Xi măng Hoàng Mai
NTP,HNX,Nhựa Tiền Phong
ABT,HNX,Thủy sản Bến Tre
MBS,HNX,Chứng khoán MB
TTC,HNX,Gạch Thanh Thanh
HSC,HNX,
VTL,HNX,Vang Thăng Long
GHA,HNX,
VSA,HNX,Đại lý Hàng hải VN
NBW,HNX,Cấp nc Nhà Bè
UNI,HNX,CTCP Viễn Liên
VTC,HNX,Viễn thông VTC
SHB,HNX,Ngân hàng SG HN
BVS,HNX,CK Bảo Việt
SSC,HNX,Giống cây miền Nam
TKU,HNX,C.Nghiệp Tung Kuang
MSC,HNX,Dịch vụ Phú Nhuận
VCC,HNX,CTCP Vinaconex 25
SGC,HNX,XNK Sa Giang
STP,HNX,CN T.mại Sông Đà
CTB,HNX,Bơm Hải Dương
ALT,HNX,Văn hoá Tân Bình
THT,HNX,Than Hà Tu
TCS,HNX,Than Cao Sơn
TC6,HNX,Than Cọc Sáu
TXM,HNX,Thạch cao Xi măng
TDN,HNX,Than Đèo Nai
TTT,HNX,T.mại Tây Ninh
GDW,HNX,Cấp nc Gia Định
VDL,HNX,Th.phẩm Lâm Đồng
KMT,HNX,Kim khí Miền Trung
SD9,HNX,CTCP Sông Đà 9
SDT,HNX,CTCP Sông Đà 10
PVC,HNX,Hóa chất & DV dầu khí
LBE,HNX,Sách Long An
NSC,HNX,Giống cây trồng TW
CJC,HNX,Cơ điện M.Trung
DHI,HNX,
HTP,HNX,In SGK Hòa Phát
NLC,HNX,
PTS,HNX,V.tải Petro H.Phòng
SJE,HNX,CTCP Sông Đà 11
TPH,HNX,Sách giáo khoa HN
VC2,HNX,Xây dựng VINA2
VMC,HNX,CTCP VIMECO
VTV,HNX,N.lượng & M.trg VICEM
VC1,HNX,CTCP xây dựng số 1
CMC,HNX,CTCP Đầu tư CMC
EBS,HNX,Sách Giáo Dục HN
HJS,HNX,Th.điện Nậm Mu
HLY,HNX,Viglacera Hạ Long I
HPS,HNX,
MCO,HNX,CTCP MCO Việt Nam
PAN,HNX,CTCP Tập đoàn PAN
PJC,HNX,V.tải Petro HN
POT,HNX,Thiết bị Bưu Điện
S55,HNX,CTCP Sông Đà 505
S64,HNX,
S91,HNX,
S99,HNX,CTCP SCI
SD6,HNX,CTCP Sông Đà 6
SDA,HNX,CTCP Simco Sông Đà
SDC,HNX,Tư vấn sông Đà
SNG,HNX,
VNC,HNX,TĐ Vinacontrol
DNP,HNX,CTCP Nhựa Đồng Nai
VGP,HNX,Cảng rau quả
TMC,HNX,T.mại XNK Thủ Đức
PLC,HNX,Hóa dầu Petrolimex
SD5,HNX,CTCP Sông Đà 5
SIC,HNX,CTCP ANI
STC,HNX,Sách T.bị HCM
SAF,HNX,Th.phẩm SAFOCO
SD4,HNX,CTCP Sông Đà 4
CIC,HNX,
DAE,HNX,Sách Giaó dục ĐN
NBC,HNX,Than Núi Béo
NST,HNX,CTCP Ngân Sơn
PSC,HNX,V.tải Petro SG
TLC,HNX,
YSC,HNX,
SDN,HNX,CTCP Sơn Đồng Nai
SFN,HNX,Dệt lưới Sài Gòn
SJ1,HNX,N.nghiệp Hùng Hậu
SGD,HNX,Sách Giáo dục HCM
SKS,HNX,
SSS,HNX,
PVG,HNX,Kinh doanh LPG
MAS,HNX,DV sân bay Đà Nẵng
SDU,HNX,Đô thị Sông Đà
PGS,HNX,Kinh doanh khí Miền Nam
RCL,HNX,Địa ốc Chợ Lớn
LHC,HNX,Th.lợi Lâm Đồng
BAX,HNX,CTCP Thống Nhất
NBP,HNX,Nh.điện Ninh Bình
BTW,HNX,Cấp nước Bến Thành
NSN,HNX,
LO5,HNX,CTCP Lilama 5
CET,HNX,HTC HOLDING
WCS,HNX,Bến xe miền Tây
SD2,HNX,CTCP Sông Đà 2
VMI,HNX,K.sản Đ.tư VISACO
L61,HNX,CTCP LILAMA 69-1
DST,HNX,ĐT Sao Thăng Long
PSI,HNX,CK Dầu khí
IDC,HNX,TCT IDICO
C92,HNX,Xây dựng 492
VND,HNX,VNDIRECT
TNG,HNX,Đ.tư T.mại TNG
HCT,HNX,V.tải xi măng H.Phòng
SJC,HNX,CTCP Sông Đà 1.01
PDC,HNX,D.lịch DK Ph.Đông
MDC,HNX,Than Mông Dương
HLC,HNX,Than Hà Lầm
CLH,HNX,Xi măng La Hiên
HPR,HNX,
HEV,HNX,Sách ĐH - Dạy nghề
KLS,HNX,
TST,HNX,DV KT Viễn thông
HCC,HNX,Bê tông Hòa Cẩm
TJC,HNX,DV V.tải & T.mại
VCS,HNX,CTCP VICOSTONE
VC3,HNX,TẬP ĐOÀN NAM MÊ KÔNG
TAS,HNX,
KMF,HNX,
SVS,HNX,
VC7,HNX,Xây dựng số 7
CAP,HNX,Lâm Nông Sản Y.Bái
NGC,HNX,Th.sản Ngô Quyền
LUT,HNX,ĐT XD Lương Tài
NVC,HNX,
SRA,HNX,Sara Việt Nam
VC6,HNX,Xây dựng Visicons
HBE,HNX,T.bị trg học H.Tĩnh
TVD,HNX,Than Vàng Danh
BAB,HNX,Ngân hàng Bắc Á
NVB,HNX,Ngân hàng Quốc Dân
X20,HNX,CTCP X20
HUT,HNX,CTCP TASCO
L62,HNX,CTCP Lilama 69-2
L18,HNX,Xây dựng số 18
APS,HNX,Chứng khoán APEC
BLF,HNX,Thủy sản Bạc Liêu
L43,HNX,CTCP Lilama 45.3
ONE,HNX,Truyền thông số 1
CTC,HNX,CTCP Gia Lai CTC
TV4,HNX,Xây dựng điện 4
SDS,HNX,
QTC,HNX,C.trình GTVT Q.Nam
KKC,HNX,CTCP Kim khí KKC
VE1,HNX,XD Điện VNECO 1
TPP,HNX,CTCP Nhựa Tân Phú
THB,HNX,Bia Thanh Hóa
TBX,HNX,Xi măng Thái Bình
SSM,HNX,C.tạo kết cấu thép
MKV,HNX,Dược thú y Cai Lậy
VGS,HNX,Ống thép Việt Đức
DHT,HNX,Dược phẩm Hà Tây
BST,HNX,Sách Bình Thuận
QST,HNX,Sách Quảng Ninh
VHL,HNX,Viglacera Hạ Long
AGC,HNX,
SEB,HNX,Đ.tư điện M.Trung
HVT,HNX,Hóa chất Việt Trì
ICG,HNX,Xây dựng sông Hồng
ECI,HNX,Tranh ảnh Giáo dục
DZM,HNX,Chế tạo máy Dzĩ An
PPP,HNX,Dược Phong Phú
SME,HNX,
SHS,HNX,Chứng khoán SG HN
S74,HNX,CTCP Sông Đà 7.04
AVS,HNX,
EID,HNX,ĐTPT giáo dục HN
CTM,HNX,
VNT,HNX,Vận Tải Ngoại Thương
SED,HNX,Giáo dục Phg Nam
BKC,HNX,K.sản Bắc Kạn
DAD,HNX,ĐTPT Giáo dục ĐN
VNF,HNX,VINAFREIGHT
IDJ,HNX,Đầu tư IDJ Việt Nam
NAG,HNX,Nagakawa Group
VC9,HNX,Xây dựng số 9
DC2,HNX,Xây dựng (DIC) 2
IDV,HNX,Hạ tầng Vĩnh Phúc
PMC,HNX,Dược Pharmedic
BED,HNX,Sách T.bị Đà Nẵng
HAD,HNX,Bia HN Hải Dương
TMX,HNX,Vicem T.mại X.măng
API,HNX,ĐT Châu Á - TBD
VIT,HNX,Viglacera Tiên Sơn
CSC,HNX,COTANA
TV3,HNX,Tư vấn XD điện 3
BXH,HNX,Bao bì Hải Phòng
GLT,HNX,KT điện Toàn cầu
MHL,HNX,CTCP Minh Hữu Liên
V12,HNX,Xây dựng số 12
TKC,HNX,Địa ốc Tân Kỷ
VIG,HNX,Chứng khoán VICS
TIG,HNX,Đầu tư Thăng Long
WSS,HNX,CK Phố Wall
SHN,HNX,ĐT Tổng hợp Hà Nội
VFG,HNX,Khử trùng Việt Nam
HGM,HNX,K.sản Hà Giang
DNC,HNX,Lắp máy Hải Phòng
MAC,HNX,DV KT Hàng Hải
PGT,HNX,PGT Holdings
HMH,HNX,CTCP Hải Minh
AMV,HNX,T.bị y tế Việt Mỹ
HST,HNX,Sách Hưng Yên
CKV,HNX,COKYVINA
BDB,HNX,Sách Bình Định
HHL,HNX,
CPC,HNX,Sát trùng Cần Thơ
INN,HNX,Bao bì In N.nghiệp
VBC,HNX,Nhựa - Bao bì Vinh
DL1,HNX,DV C.trình Đức Lg
L35,HNX,Cơ khí Lilama
PVL,HNX,ĐT Nhà đất Việt
KBT,HNX,
TET,HNX,May mặc miền Bắc
V21,HNX,CTCP Vinaconex 21
LIG,HNX,CTCP Licogi 13
QHD,HNX,Que hàn Việt Đức
VXB,HNX,VLXD Bến Tre
KSD,HNX,Xuất khẩu Hamico
HTC,HNX,Thương mại Hóc Môn
VCM,HNX,N.lực Vinaconex
CX8,HNX,X.lắp Contrexim 8
LCS,HNX,CTCP Licogi 166
AME,HNX,Alphanam E&C
VE3,HNX,XD Điện VNECO 3
TSM,HNX,Xi măng Tiên Sơn Hà Tây
MIH,HNX,
HBS,HNX,CK Hòa Bình
PRC,HNX,CTCP Portserco
LDP,HNX,Dược Lâm Đồng
CTX,HNX,Đ.tư XD T.mại VN
VCH,HNX,
SMT,HNX,CTCP Sametel
TMB,HNX,Than miền Bắc
HHG,HNX,CTCP Hoàng Hà
VLA,HNX,C.nghệ Văn Lang
VE2,HNX,XD Điện VNECO 2
PCT,HNX,V.tải khí H.chất VN
CVN,HNX,CTCP VINAM
VCV,HNX,
TFC,HNX,CTCP Trang
NDN,HNX,ĐTPT Nhà Đà Nẵng
MIM,HNX,K.sản & Cơ khí
LAS,HNX,Supe Phốt phát LT
NET,HNX,CTCP Bột giặt Net
MAX,HNX,
SEL,HNX,
HAT,HNX,Thương mại Bia HN
NIS,HNX,
OCH,HNX,Khách sạn và dịch vụ OCH
APP,HNX,S.phẩm dầu mỏ
ARM,HNX,XNK Hàng không
GBS,HNX,
HTB,HNX,
LM7,HNX,CTCP Lilama 7
KTT,HNX,Điện Thiên Trường
LCD,HNX,Thí nghiệm cơ điện
CMS,HNX,CTCP CMVIETNAM
VKC,HNX,Nhựa Vĩnh Khánh
MNC,HNX,Mai Linh miền Trung
VAT,HNX,VT Vạn Xuân
MCL,HNX,
PV2,HNX,CTCP Đầu tư PV2
BSC,HNX,DV Bến Thành
KST,HNX,CTCP KASATI
HDA,HNX,Hãng sơn Đông Á
ADC,HNX,Mĩ thuật & Tr.thông
PCG,HNX,ĐTPT Gas Đô thị
KTS,HNX,CTCP Đường Kon Tum
PTD,HNX,T.mại Phúc Thịnh
PPS,HNX,KT Đ.lực DK VN
TSB,HNX,Ắc quy Tia sáng
I40,HNX,
L40,HNX,
PCE,HNX,H.chất DK M.Trung
DNM,HNX,Y tế Danameco
D11,HNX,CTCP Địa ốc 11
MCF,HNX,Th.phẩm Mecofood
DIH,HNX,Xây dựng Hội An
GFC,HNX,
VIE,HNX,C.nghệ V.thông VITECO
FDT,HNX,CTCP Fiditour
INC,HNX,Tư vấn Đ.tư IDICO
PPE,HNX,T.vấn Đ.lực DK VN
GMX,HNX,Gạch XD Mỹ Xuân
IVS,HNX,CK Đầu tư VN
L14,HNX,CTCP Licogi 14
ITQ,HNX,TĐ Thiên Quang
SVN,HNX,Tập đoàn Vexilla VN
CTV,HNX,
CDN,HNX,Cảng Đà Nẵng
PSE,HNX,H.chất DK Đ.N.Bộ
AMC,HNX,K.sản Á Châu
MED,HNX,Dược TW MEDIPLANTEX
DHL,HNX,
VE8,HNX,XD Điện VNECO 8
VE4,HNX,XD Điện VNECO 4
SPI,HNX,CTCP SPI
SLS,HNX,Mía đường Sơn La
TVB,HNX,CK Trí Việt
TTZ,HNX,C.nghệ Tiến Trung
DHP,HNX,Điện Cơ Hải Phòng
HLD,HNX,BĐS HUDLAND
PSD,HNX,P.phối T.hợp D.khí
NDX,HNX,X.lắp Nhà Đà Nẵng
KSQ,HNX,CNC Capital VN
KLF,HNX,Đ.tư T.mại XNH CFS
THS,HNX,Thanh Hoa Sông Đà
PVB,HNX,Bọc Ống D.khí VN
NFC,HNX,Phân lân Ninh Bình
DP3,HNX,Dược phẩm TW 3
