adAverage,adChange,adClose,adHigh,adLow,adOpen,average,basicPrice,ceilingPrice,change,close,code,date,floor,floorPrice,high,low,nmValue,nmVolume,open,pctChange,ptValue,ptVolume,time,type
19.87556561,0.0,19.9,20.0,19.75,19.9,19.87556561,19.9,21.25,0.0,19.9,PSH,2021-04-22,HOSE,18.55,20.0,19.75,7028000000.0,353600.0,19.9,0.0,0.0,0.0,14:46:37,STOCK
19.98,-0.1,19.9,20.1,19.8,20.0,19.98,20.0,21.4,-0.1,19.9,PSH,2021-04-20,HOSE,18.6,20.1,19.8,5409360000.0,270700.0,20.0,-0.5,0.0,0.0,15:04:03,STOCK
19.64,0.5,20.0,20.0,19.3,19.5,19.64,19.5,20.85,0.5,20.0,PSH,2021-04-19,HOSE,18.15,20.0,19.3,2946710000.0,150000.0,19.5,2.5641,0.0,0.0,15:04:03,STOCK
19.64,-0.25,19.5,19.75,19.5,19.75,19.64,19.75,21.1,-0.25,19.5,PSH,2021-04-16,HOSE,18.4,19.75,19.5,2771290000.0,141100.0,19.75,-1.2658,0.0,0.0,15:04:02,STOCK
19.82,-0.05,19.75,19.85,19.75,19.8,19.82,19.8,21.15,-0.05,19.75,PSH,2021-04-15,HOSE,18.45,19.85,19.75,2471840000.0,124700.0,19.8,-0.2525,0.0,0.0,15:04:02,STOCK
19.79,-0.05,19.8,19.85,19.7,19.75,19.79,19.85,21.2,-0.05,19.8,PSH,2021-04-14,HOSE,18.5,19.85,19.7,2775010000.0,140200.0,19.75,-0.2519,0.0,0.0,15:04:03,STOCK
19.87,-0.1,19.85,19.95,19.75,19.9,19.87,19.95,21.3,-0.1,19.85,PSH,2021-04-13,HOSE,18.6,19.95,19.75,3167500000.0,159400.0,19.9,-0.5013,0.0,0.0,15:04:04,STOCK
19.98,-0.15,19.95,20.1,19.9,20.1,19.98,20.1,21.5,-0.15,19.95,PSH,2021-04-12,HOSE,18.7,20.1,19.9,2809790000.0,140600.0,20.1,-0.7463,0.0,0.0,15:04:03,STOCK
20.05,0.05,20.1,20.1,20.0,20.05,20.05,20.05,21.45,0.05,20.1,PSH,2021-04-09,HOSE,18.65,20.1,20.0,1824125000.0,91000.0,20.05,0.2494,0.0,0.0,15:04:03,STOCK
20.1,-0.15,20.05,20.2,20.0,20.15,20.1,20.2,21.6,-0.15,20.05,PSH,2021-04-08,HOSE,18.8,20.2,20.0,2055760000.0,102300.0,20.15,-0.7426,0.0,0.0,15:04:03,STOCK
